row_id,raw_time,interval_start,interval_end,price_元_kWh,load_kW,pv_kW,load_kWh,pv_kWh
0,00:10,00:00,00:10,0.4248,3439.8466,0.0,573.3077666666666,0.0
1,00:20,00:10,00:20,0.4245,3437.9792,0.0,572.9965333333333,0.0
2,00:30,00:20,00:30,0.4269,3444.3031,0.0,574.0505166666667,0.0
3,00:40,00:30,00:40,0.4272,3454.4437,0.0,575.7406166666666,0.0
4,00:50,00:40,00:50,0.4271,3458.8273,0.0,576.4712166666666,0.0
5,01:00,00:50,01:00,0.4285,3459.8401,0.0,576.6400166666666,0.0
6,01:10,01:00,01:10,0.4311,3467.1582,0.0,577.8597,0.0
7,01:20,01:10,01:20,0.4302,3467.9632,0.0,577.9938666666667,0.0
8,01:30,01:20,01:30,0.4279,3466.9683,0.0,577.82805,0.0
9,01:40,01:30,01:40,0.4312,3482.4927,0.0,580.41545,0.0
10,01:50,01:40,01:50,0.4333,3495.0841,0.0,582.5140166666666,0.0
11,02:00,01:50,02:00,0.4311,3498.4443,0.0,583.0740499999999,0.0
12,02:10,02:00,02:10,0.4293,3505.2295,0.0,584.2049166666666,0.0
13,02:20,02:10,02:20,0.4324,3512.6387,0.0,585.4397833333333,0.0
14,02:30,02:20,02:30,0.4367,3516.8685,0.0,586.1447499999999,0.0
15,02:40,02:30,02:40,0.4348,3517.9246,0.0,586.3207666666666,0.0
16,02:50,02:40,02:50,0.4335,3518.5518,0.0,586.4253,0.0
17,03:00,02:50,03:00,0.4357,3521.0976,0.0,586.8496,0.0
18,03:10,03:00,03:10,0.4374,3526.9261,0.0,587.8210166666667,0.0
19,03:20,03:10,03:20,0.4371,3537.2854,0.0,589.5475666666666,0.0
20,03:30,03:20,03:30,0.4356,3544.8808,0.0,590.8134666666666,0.0
21,03:40,03:30,03:40,0.4353,3541.2787,0.0,590.2131166666666,0.0
22,03:50,03:40,03:50,0.436,3546.3976,0.0,591.0662666666666,0.0
23,04:00,03:50,04:00,0.4378,3560.207,0.0,593.3678333333332,0.0
24,04:10,04:00,04:10,0.4401,3561.9581,0.0,593.6596833333333,0.0
25,04:20,04:10,04:20,0.4389,3556.7183,0.0,592.7863833333333,0.0
26,04:30,04:20,04:30,0.4364,3560.0272,0.0,593.3378666666666,0.0
27,04:40,04:30,04:40,0.4393,3580.654,0.5994,596.7756666666667,0.0999
28,04:50,04:40,04:50,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333
29,05:00,04:50,05:00,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325
30,05:10,05:00,05:10,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668
31,05:20,05:10,05:20,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999
32,05:30,05:20,05:30,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665
33,05:40,05:30,05:40,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333
34,05:50,05:40,05:50,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667
35,06:00,05:50,06:00,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332
36,06:10,06:00,06:10,0.9368,4454.0123,521.2803,742.3353833333333,86.88005
37,06:20,06:10,06:20,0.8758,4371.7919,672.7677,728.6319833333333,112.12795
38,06:30,06:20,06:30,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998
39,06:40,06:30,06:40,0.8601,4384.5956,1039.6744,730.7659333333332,173.27906666666667
40,06:50,06:40,06:50,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335
41,07:00,06:50,07:00,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334
42,07:10,07:00,07:10,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845
43,07:20,07:10,07:20,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333
44,07:30,07:20,07:30,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685
45,07:40,07:30,07:40,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667
46,07:50,07:40,07:50,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666
47,08:00,07:50,08:00,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666
48,08:10,08:00,08:10,1.1683,5884.826,3593.3613,980.8043333333333,598.89355
49,08:20,08:10,08:20,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333
50,08:30,08:20,08:30,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333
51,08:40,08:30,08:40,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333
52,08:50,08:40,08:50,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666
53,09:00,08:50,09:00,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666
54,09:10,09:00,09:10,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999
55,09:20,09:10,09:20,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667
56,09:30,09:20,09:30,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333
57,09:40,09:30,09:40,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333
