表,轴,档位或臂,指标,数值,单位,备注
表0,基准,Q1,J_cash,35126.948624416575,元,逐位复现冻结件
表0,基准,Q2,J_cash,13252341.092092,元,Δ=0.0021
表0,基准,Q3,J_cash,13120194.062139,元,Δ=0.0021
表0,基准,Q4-2,J_cash,13850454.638123,元,Δ=0.0019
表0,基准,Q4-3,J_cash,13727033.657549,元,Δ=7e-9
表A-1,λ,Q2 λ=0,J_cmp,13253490.73,元,主判据；Δ=+2070.04(+0.0156%)
表A-1,λ,Q2 λ=0,J_cash,13251225.13,元,辅；Δ=-1115.96
表A-1,λ,Q2 λ=0,S_end,1200.0,kWh,年末放空至下界
表A-1,λ,Q2 λ=0.3776,J_cmp,13253490.73,元,与 λ=0 同平台
表A-1,λ,Q2 λ=0.3776,S_end,1200.0,kWh,
表A-1,λ,Q2 λ=0.4720,J_cmp,13251420.69,元,基准
表A-1,λ,Q2 λ=0.4720,J_cash,13252341.09,元,基准（=冻结交付值）
表A-1,λ,Q2 λ=0.4720,S_end,7950.0,kWh,
表A-1,λ,Q2 λ=0.5664,J_cmp,13285666.22,元,Δ=+34245.53(+0.2584%)
表A-1,λ,Q2 λ=0.5664,J_cash,13287931.82,元,Δ=+35590.73(+0.2686%)
表A-1,λ,Q2 λ=0.5664,S_end,10800.0,kWh,顶到上界
表A-2,η,Q1 η=0.85,J_actual,36603.406516630464,元,
表A-2,η,Q1 η=0.90,J_actual,35126.948624416575,元,基准
表A-2,η,Q1 η=0.95,J_actual,33767.032654519855,元,
表A-2,η,Q2 η=0.85,J_cmp,13717516.01,元,Δ=+466095.32(+3.5173%)
表A-2,η,Q2 η=0.90,J_cmp,13251420.69,元,基准
表A-2,η,Q2 η=0.95,J_cmp,12794343.96,元,Δ=-457076.73(-3.4493%)
表A-2,η,Q4-2 η=0.85,J_cmp,14327936.58,元,Δ=+478048.34(+3.4516%)
表A-2,η,Q4-2 η=0.90,J_cmp,13849888.24,元,基准
表A-2,η,Q4-2 η=0.95,J_cmp,13348273.60,元,Δ=-501614.64(-3.6218%)
表A-2,η,Q3 26日 η=0.85,ΣJ_cmp,1006573.29,元,Δ=+33520.25(+3.4449%)
表A-2,η,Q3 26日 η=0.90,ΣJ_cmp,973053.04,元,基准（局部）
表A-2,η,Q3 26日 η=0.95,ΣJ_cmp,936051.09,元,Δ=-37001.95(-3.8027%)
表A-2,η,Q4-3 26日 η=0.85,ΣJ_cmp,1045388.76,元,Δ=+36288.50(+3.5961%)
表A-2,η,Q4-3 26日 η=0.90,ΣJ_cmp,1009100.26,元,基准（局部）
表A-2,η,Q4-3 26日 η=0.95,ΣJ_cmp,970467.59,元,Δ=-38632.67(-3.8284%)
表B,ρ,Q3 ρ=0.5,J_cash,12805045.44,元,Δ=-315148.62(-2.4020%)
表B,ρ,Q3 ρ=0.5,J_plan,12360747.72,元,
表B,ρ,Q3 ρ=0.5,J_adj,275369.75,元,
表B,ρ,Q3 ρ=0.5,J_emg,168927.97,元,
表B,ρ,Q3 ρ=0.5,QH,36680.68715,kWh,
表B,ρ,Q3 ρ=0.5,节点MAE,93.30460251971202,kW,
表B,ρ,Q3 ρ=0.5,节点RMSE,219.27883346268598,kW,
表B,ρ,Q3 ρ=0.5,槽MAE,93.466546665835,kW,
表B,ρ,Q3 ρ=0.5,槽RMSE,181.10955031270356,kW,
表B,ρ,Q3 ρ=0.5,clip_count,130,个,
表B,ρ,Q3 ρ=1.0,J_cash,13120194.06,元,基准
表B,ρ,Q3 ρ=1.0,J_plan,12381239.55,元,
表B,ρ,Q3 ρ=1.0,J_adj,542052.30,元,
表B,ρ,Q3 ρ=1.0,J_emg,196902.21,元,
表B,ρ,Q3 ρ=1.0,QH,42672.21642,kWh,
表B,ρ,Q3 ρ=1.0,节点MAE,186.60920503942404,kW,
表B,ρ,Q3 ρ=1.0,节点RMSE,438.55766692537196,kW,
表B,ρ,Q3 ρ=1.0,槽MAE,143.740743322383,kW,
表B,ρ,Q3 ρ=1.0,槽RMSE,292.8227858306133,kW,
表B,ρ,Q3 ρ=1.0,clip_count,76,个,
表B,ρ,Q3 ρ=1.5,J_cash,13478837.67,元,Δ=+358643.61(+2.7335%)
表B,ρ,Q3 ρ=1.5,J_plan,12424724.30,元,
表B,ρ,Q3 ρ=1.5,J_adj,818388.11,元,
表B,ρ,Q3 ρ=1.5,J_emg,235725.25,元,
表B,ρ,Q3 ρ=1.5,QH,51024.14959,kWh,
表B,ρ,Q3 ρ=1.5,节点MAE,279.91380755913605,kW,
表B,ρ,Q3 ρ=1.5,节点RMSE,657.836500388058,kW,
表B,ρ,Q3 ρ=1.5,槽MAE,198.45001162965735,kW,
表B,ρ,Q3 ρ=1.5,槽RMSE,416.97755202896013,kW,
表B,ρ,Q3 ρ=1.5,clip_count,112,个,
表C,2x2,plan1×att1(J11),J_cash,13120194.062138628,元,全精度
表C,2x2,plan1×att4(J14),J_cash,13880227.036463931,元,全精度
表C,2x2,plan4×att1(J41),J_cash,13225150.380835399,元,全精度
表C,2x2,plan4×att4(J44),J_cash,13727033.657549052,元,全精度
